Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612,High
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,8483,High
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,7577,High
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High
i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,5284,Low
i8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,9454,High
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,2353,Low
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low
i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,1675,Low
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,6177,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,4669,Low
i3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,5178,Low
i8,2015,Asia,Black,Hybrid,Automatic,2.4,6365,30074,2845,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,4997,Low
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,9124,High
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,1482,Low
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,3134,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,6856,Low
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,1883,Low
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913,High
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,113,Low
i3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,8132,High
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,7436,High
i3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,5415,Low
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,4488,Low
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,6300,Low
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,3108,Low
i3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,3901,Low
i3,2024,Asia,Red,Petrol,Manual,1.9,42153,62609,897,Low
i3,2023,Europe,Grey,Hybrid,Automatic,3.2,136858,54036,3108,Low
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,9003,High
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,7064,High
i8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,9586,High
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,9156,High
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,8066,High
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,5829,Low
X3,2014,Middle East,White,Petrol,Automatic,4.7,95070,83106,6254,Low
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,2156,Low
i8,2016,South America,Red,Hybrid,Manual,2.9,32573,42409,5098,Low
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,5095,Low
X5,2017,Africa,Blue,Hybrid,Manual,2.9,110631,110049,1386,Low
i3,2017,South America,Grey,Petrol,Automatic,4.0,174519,31948,5863,Low
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,34401,288,Low
X3,2017,Europe,Red,Electric,Manual,3.2,84155,70778,8167,High
X1,2015,Middle East,Silver,Hybrid,Automatic,3.5,117990,58708,3657,Low
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,9121,High
X1,2023,Europe,Silver,Diesel,Manual,3.2,112416,53115,874,Low
X5,2018,Europe,Silver,Diesel,Manual,2.9,124134,37111,4242,Low
X5,2018,Africa,Black,Electric,Manual,1.6,6634,67794,9284,High
i3,2022,North America,Black,Hybrid,Automatic,3.0,81603,115537,5387,Low
i3,2015,Asia,White,Hybrid,Manual,3.3,95364,91829,7118,High
X1,2022,South America,Black,Petrol,Automatic,2.3,26767,117363,642,Low
i3,2018,Africa,White,Hybrid,Automatic,4.2,27979,95982,4366,Low
M3,2023,South America,Grey,Hybrid,Manual,4.2,80410,55419,7109,High
X3,2014,South America,Silver,Petrol,Manual,4.5,35380,84387,6211,Low
X5,2017,Europe,Silver,Electric,Automatic,1.9,5204,32190,143,Low
X5,2017,South America,Black,Hybrid,Manual,3.3,42159,85852,5802,Low
X3,2016,Asia,Grey,Petrol,Automatic,3.1,143652,93537,5924,Low
i8,2020,South America,White,Hybrid,Automatic,2.5,59781,62084,4541,Low
X3,2015,Asia,Grey,Diesel,Manual,3.5,6304,45543,6657,Low
X6,2023,Europe,White,Hybrid,Automatic,3.3,54800,100512,9966,High
X5,2023,South America,Grey,Petrol,Manual,3.8,51128,94088,2930,Low
i8,2015,Middle East,Silver,Electric,Automatic,4.1,86794,39377,9525,High
X1,2015,Africa,Silver,Hybrid,Automatic,3.4,15994,41990,8543,High
i8,2022,Africa,Black,Diesel,Manual,4.8,89921,41946,2452,Low
X3,2017,North America,Silver,Petrol,Manual,3.8,113551,30284,241,Low
M3,2020,North America,Red,Hybrid,Automatic,2.9,180136,59712,6726,Low
i8,2014,Middle East,White,Diesel,Manual,4.7,144533,82911,4321,Low
X6,2023,Asia,Red,Diesel,Manual,4.7,32173,54649,6736,Low
M3,2021,Middle East,White,Hybrid,Manual,2.9,162609,54134,904,Low
M5,2024,Middle East,White,Hybrid,Automatic,2.1,43892,84569,4431,Low
M5,2021,North America,Silver,Diesel,Manual,3.5,52191,66769,1942,Low
X1,2022,Africa,Blue,Hybrid,Automatic,2.2,16720,41380,2118,Low
M3,2023,North America,Silver,Hybrid,Manual,4.7,26402,35130,9240,High
i3,2014,South America,Red,Diesel,Manual,3.9,185012,74147,8800,High
i8,2015,Europe,Grey,Electric,Automatic,3.9,137116,71187,3942,Low
M3,2021,South America,Grey,Diesel,Automatic,2.8,72907,31385,634,Low
X6,2014,Asia,Black,Electric,Manual,1.9,114324,111758,7978,High
X3,2017,Europe,Red,Electric,Automatic,3.1,37926,112367,6565,Low
X3,2022,South America,Blue,Diesel,Automatic,3.1,1536,42468,9374,High
i8,2024,Africa,White,Petrol,Manual,3.8,145740,97980,6665,Low
i8,2021,South America,Grey,Diesel,Automatic,3.4,158596,31016,4938,Low
M5,2024,South America,Blue,Petrol,Manual,2.0,32207,35232,4545,Low
i8,2022,Middle East,Black,Hybrid,Manual,3.5,36421,117586,5532,Low
M5,2014,Africa,Blue,Petrol,Automatic,2.9,109953,90079,6074,Low
X5,2018,Africa,Silver,Diesel,Manual,2.0,54511,52655,7876,High
X1,2019,Asia,Black,Electric,Manual,2.9,190036,58531,7317,High
X6,2024,Middle East,White,Electric,Manual,3.8,11344,113647,1983,Low
M5,2015,Middle East,Grey,Petrol,Automatic,2.6,166487,112693,5817,Low
i3,2017,Europe,Grey,Diesel,Automatic,4.9,40442,67998,7313,High
i3,2023,Middle East,Black,Electric,Manual,4.2,2005,41659,1786,Low
X5,2024,Europe,Blue,Petrol,Manual,3.4,82598,113709,8047,High
i8,2015,South America,Red,Petrol,Automatic,3.1,182742,80754,5839,Low
X3,2016,South America,Red,Hybrid,Automatic,3.3,26890,60361,1339,Low
X3,2024,Europe,Red,Electric,Manual,4.7,1390,119117,7270,High
i8,2020,North America,Red,Diesel,Automatic,4.1,5405,108815,2879,Low
X5,2019,Europe,Blue,Hybrid,Manual,2.5,36527,84856,2035,Low
X5,2018,Europe,Blue,Petrol,Manual,3.5,31445,62226,7616,High
X3,2019,Africa,Black,Hybrid,Automatic,2.5,114886,70265,9879,High
X6,2016,Europe,Black,Petrol,Manual,4.7,10561,63605,8533,High
M3,2019,Africa,White,Hybrid,Automatic,3.1,108903,58185,335,Low
M3,2017,Africa,Silver,Hybrid,Manual,4.8,183782,100693,6324,Low
i8,2019,North America,White,Petrol,Automatic,2.9,122500,96319,9080,High
X6,2017,Africa,White,Electric,Automatic,4.0,53449,82740,1329,Low
i8,2023,Africa,Black,Hybrid,Automatic,3.3,123239,52193,6006,Low
X5,2023,North America,Grey,Diesel,Automatic,1.5,56918,36116,3195,Low
X3,2016,South America,Red,Electric,Automatic,1.9,136356,105711,1100,Low
X6,2024,Europe,Silver,Hybrid,Manual,3.6,131579,36319,6496,Low
X6,2021,Africa,Grey,Petrol,Automatic,4.1,192233,32423,844,Low
X5,2016,Africa,Grey,Diesel,Automatic,3.1,13371,105070,4284,Low
X5,2024,Middle East,White,Hybrid,Automatic,4.3,78733,75419,5961,Low
X1,2015,Asia,Grey,Diesel,Automatic,2.1,199235,84022,1194,Low
X5,2018,Middle East,Red,Electric,Manual,3.8,50183,75390,8038,High
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,93236,2693,Low
X5,2024,Africa,White,Petrol,Manual,3.3,93603,72936,2487,Low
M5,2023,South America,Silver,Diesel,Manual,4.9,140914,34553,6549,Low
i8,2015,Middle East,Grey,Electric,Automatic,3.2,82478,80247,9537,High
i3,2019,Middle East,Grey,Diesel,Manual,3.7,183985,107396,9192,High
X5,2019,Asia,Red,Electric,Automatic,2.0,15812,76124,4646,Low
X1,2015,North America,Silver,Diesel,Manual,4.3,90089,103531,4441,Low
i8,2020,Europe,Red,Diesel,Manual,3.0,93800,94038,5816,Low
X6,2021,Asia,Red,Hybrid,Manual,1.6,13086,36462,7133,High
X3,2014,Europe,Red,Electric,Automatic,2.0,37967,64069,4747,Low
X6,2017,North America,Silver,Hybrid,Manual,2.9,117113,74150,4425,Low
X6,2021,Asia,White,Hybrid,Automatic,2.9,9134,45607,556,Low
M5,2021,North America,Black,Electric,Automatic,3.2,130480,52081,3272,Low
X3,2021,Europe,Silver,Electric,Automatic,2.4,64002,116500,348,Low
X5,2014,Middle East,Silver,Hybrid,Automatic,1.5,149506,30135,9888,High
i3,2016,Europe,Silver,Hybrid,Manual,4.6,33244,116918,2095,Low
M3,2015,Africa,Black,Hybrid,Automatic,4.9,179971,59889,8335,High
M5,2023,Europe,Grey,Hybrid,Automatic,5.0,16692,99296,5943,Low
X5,2024,Europe,Black,Electric,Automatic,2.0,9615,66166,5997,Low
M3,2016,South America,White,Diesel,Automatic,4.2,158898,86673,9443,High
X3,2017,Asia,Silver,Diesel,Automatic,1.6,149657,53093,6010,Low
i8,2017,North America,Silver,Petrol,Automatic,2.7,177410,41756,563,Low
i3,2024,North America,Black,Diesel,Manual,2.9,108780,42697,8838,High
X6,2021,Europe,White,Hybrid,Manual,4.1,57533,85638,3739,Low
X6,2019,Middle East,Blue,Electric,Automatic,3.6,179601,94664,1678,Low
i3,2016,North America,Grey,Petrol,Manual,2.8,107224,108265,9521,High
X6,2019,South America,Red,Electric,Manual,2.1,111839,73514,2768,Low
X1,2014,Middle East,Black,Petrol,Manual,3.6,136787,64990,2399,Low
i3,2014,South America,Blue,Petrol,Manual,2.6,85185,114354,7868,High
M5,2023,South America,Black,Hybrid,Manual,1.6,172797,73954,5084,Low
i8,2016,Middle East,White,Electric,Automatic,2.3,110324,105341,3727,Low
X3,2018,South America,Red,Petrol,Automatic,5.0,61899,91730,9606,High
M3,2021,Africa,Blue,Petrol,Automatic,1.5,11430,109949,6188,Low
X3,2019,Asia,Grey,Diesel,Manual,2.6,85688,36661,9954,High
X5,2019,North America,Silver,Electric,Automatic,2.9,20462,88937,3605,Low
X3,2024,Europe,Black,Diesel,Manual,1.8,185671,93151,4711,Low
X3,2018,Africa,Black,Petrol,Manual,3.3,158539,88307,4847,Low
X1,2022,North America,Silver,Diesel,Manual,4.8,142009,55139,2255,Low
X3,2014,Africa,Red,Diesel,Automatic,1.8,116237,41969,1244,Low
M5,2022,Middle East,Blue,Petrol,Automatic,4.6,53187,81354,784,Low
M3,2016,North America,Blue,Hybrid,Automatic,1.8,195192,119134,6570,Low
i8,2015,Middle East,White,Hybrid,Automatic,5.0,123323,103534,2717,Low
i3,2022,South America,White,Diesel,Manual,4.0,136323,35945,4643,Low
M5,2016,North America,White,Petrol,Manual,2.5,145948,45297,2447,Low
X6,2021,Africa,White,Diesel,Automatic,4.0,60014,51230,9313,High
i8,2019,Europe,Red,Electric,Manual,3.9,128625,107973,8455,High
i3,2014,Asia,Black,Diesel,Manual,1.8,190726,100453,3316,Low
M5,2015,South America,Silver,Petrol,Automatic,1.9,32159,92285,6560,Low
X3,2022,Europe,Silver,Hybrid,Automatic,4.8,165231,72593,4877,Low
M5,2021,Asia,White,Electric,Manual,4.9,78179,70403,7365,High
X5,2014,Europe,Grey,Hybrid,Manual,4.8,187195,41296,7699,High
X1,2024,South America,Silver,Petrol,Manual,4.7,160411,76189,1131,Low
X1,2023,Africa,White,Hybrid,Automatic,4.6,136514,94933,4533,Low
M3,2023,Africa,White,Electric,Manual,4.4,35796,45975,2999,Low
X3,2023,North America,Blue,Hybrid,Automatic,3.9,162596,89574,7612,High
M3,2021,Africa,White,Hybrid,Manual,2.0,1811,56208,8578,High
i3,2019,South America,White,Electric,Manual,1.6,151998,110953,6928,Low
X5,2014,Asia,White,Diesel,Automatic,4.7,106658,47201,8051,High
X6,2016,Middle East,Red,Petrol,Automatic,3.8,151865,74845,8291,High
M5,2023,Middle East,Grey,Electric,Automatic,3.2,177722,90483,8800,High
X5,2023,Africa,Red,Diesel,Automatic,2.0,74612,63767,1602,Low
M3,2014,Asia,Grey,Electric,Automatic,4.6,133780,88568,7632,High
X6,2016,South America,Blue,Diesel,Manual,2.7,165162,63342,3124,Low
X1,2019,Africa,Grey,Electric,Automatic,3.9,81128,67337,6335,Low
i3,2015,South America,Silver,Electric,Manual,3.3,26839,54215,393,Low
M3,2014,Middle East,Black,Petrol,Automatic,4.4,71014,106337,5749,Low
X1,2019,Africa,Red,Petrol,Automatic,4.7,91038,99809,4751,Low
M5,2019,Europe,Black,Diesel,Manual,2.0,128785,67632,7227,High
X3,2017,North America,Black,Hybrid,Automatic,1.6,192794,98338,2964,Low
X5,2014,North America,Red,Petrol,Manual,3.2,112616,65146,7877,High
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,39371,8106,High
X6,2016,Middle East,Silver,Petrol,Automatic,3.2,160994,36529,4747,Low
X5,2021,South America,Grey,Petrol,Automatic,4.0,184282,65453,7674,High
X6,2020,Middle East,Grey,Petrol,Automatic,2.7,162403,40976,9924,High
X1,2017,North America,Red,Diesel,Automatic,2.4,184511,77086,9589,High
i8,2021,Europe,Grey,Electric,Automatic,3.4,157823,114472,2087,Low
i8,2020,Africa,White,Electric,Manual,1.5,78999,107597,7217,High
M5,2014,Europe,Silver,Diesel,Automatic,1.7,134005,44431,7143,High
i3,2017,Asia,Black,Electric,Manual,2.1,161500,83062,4684,Low
X3,2019,Europe,Red,Petrol,Manual,4.9,14205,32033,7801,High
M5,2020,Europe,Grey,Hybrid,Automatic,4.0,182203,98363,9468,High
X6,2021,Europe,Blue,Hybrid,Automatic,3.3,184003,80549,5976,Low
M5,2022,South America,White,Petrol,Manual,4.8,151188,101717,8168,High
X6,2022,North America,White,Hybrid,Automatic,3.7,172961,36829,7453,High
X6,2021,South America,Silver,Electric,Automatic,4.0,21576,58399,1110,Low
i3,2023,North America,Blue,Electric,Manual,3.6,11604,104168,1755,Low
i8,2022,Asia,White,Diesel,Manual,2.9,174399,61129,1923,Low
X3,2016,Asia,Grey,Diesel,Automatic,2.9,37382,97089,4428,Low
X3,2019,South America,White,Hybrid,Manual,2.8,13828,68456,2003,Low
X3,2019,Africa,Black,Petrol,Automatic,3.3,67674,93953,3640,Low
